"Código";"Município";"Municipio";"Área_km_";"Densidade_demográfica_2000";"Distância_à_capital_km_";"Esperança_de_vida_ao_nascer_2000";"Mortalidade_até_um_ano_de_idade_2000";"Taxa_de_fecundidade_total_2000";"Percentual_de_pessoas_de_25_anos_ou_mais_analfabetas_2000";"Renda_per_Capita_2000";"Índice_de_Gini_2000";"Intensidade_da_indigência_2000";"Intensidade_da_pobreza_2000";"Índice_de_Desenvolvimento_Humano_Municipal_2000";"Taxa_bruta_de_freqüência_à_escola_2000";"Taxa_de_alfabetização_2000";"Média_de_anos_de_estudo_das_pessoas_de_25_anos_ou_mais_de_idade_2000";"População_de_25_anos_ou_mais_de_idade_1991";"População_de_25_anos_ou_mais_de_idade_2000";"População_de_65_anos_ou_mais_de_idade_1991";"População_de_65_anos_ou_mais_de_idade_2000";"População_total_1991";"População_total_2000";"População_urbana_2000";"População_rural_2000"
"75";220027;"Alegrete do Piauí (PI)";"Alegrete do Piauí";263.7;17.9;321.572783;58.89;66.36;2.66;54.77;97.91;0.56;44.7;51.4;0.566;73.75;52.15;2.2;1666;2169;212;261;4169;4713;2662;2051
"76";430045;"Alegria (RS)";"Alegria";175.2;30.5;368.316671;70.58;20.03;2.19;12.28;160.89;0.56;50.79;49.95;0.745;80.62;87.75;4.33;3111;3117;335;445;6247;5367;1607;3760
"77";150040;"Alenquer (PA)";"Alenquer";24496.8;1.7;694.517979;67.39;36.16;4.53;22.05;87.66;0.58;47.07;52.38;0.673;75.52;80.85;3.96;12049;15134;1438;2104;35834;41784;25160;16624
"78";240050;"Alexandria (RN)";"Alexandria";420.4;32.6;317.655292;67.34;41.33;2.33;44.15;79.63;0.57;61.18;60.01;0.637;85.74;62.41;3.4;6177;6840;1070;1195;14580;13772;8890;4882
"79";520030;"Alexânia (GO)";"Alexânia";850.8;23.6;103.647728;64.83;36.16;2.91;23.45;168.61;0.57;52.56;41.17;0.696;74.12;82.32;4.14;7056;9596;767;1081;16472;20047;15935;4112
"80";310150;"Além Paraíba (MG)";"Além Paraíba";512.5;65.5;264.309282;69.12;31.41;2.21;11.65;294.34;0.57;32.45;33.82;0.777;80.61;90.63;6.12;16495;19206;2291;2991;30932;33610;31028;2582
"81";310160;"Alfenas (MG)";"Alfenas";849.2;78.6;273.781346;76.85;11.44;2.24;10.11;357.09;0.58;56.68;32.32;0.829;77.71;91.47;6.13;25672;35370;2892;4227;52700;66957;62148;4809
"82";320030;"Alfredo Chaves (ES)";"Alfredo Chaves";616.5;22.1;55.429367;72.02;18.8;2.41;15.13;197.85;0.56;42.6;41.59;0.754;69.43;88.72;4.8;6090;7396;762;1015;12647;13616;5614;8002
"83";350080;"Alfredo Marcondes (SP)";"Alfredo Marcondes";119.8;30.8;520.496978;76.19;7.89;1.87;13.74;237.32;0.53;48.77;39.47;0.799;79.88;88.8;5.19;1904;2203;273;386;3493;3697;2672;1025
"84";310163;"Alfredo Vasconcelos (MG)";"Alfredo Vasconcelos";122.9;41.5;148.739029;70.5;27.17;2.58;19.27;144.49;0.52;28.54;41.89;0.72;71.88;84.07;4.27;1983;2646;178;255;4339;5101;3148;1953
"85";420070;"Alfredo Wagner (SC)";"Alfredo Wagner";733.4;12;78.111514;74.19;15.32;3.95;15.73;258.12;0.55;34.63;36.55;0.778;70.05;86.99;4.05;4523;4575;404;475;10153;8857;2473;6384
"86";250057;"Algodão de Jandaíra (PB)";"Algodão de Jandaíra";454.6;4.9;121.440765;61.71;54.49;2.89;57.24;56.19;0.51;53.27;60.06;0.552;77.08;51.46;1.76;881;940;154;156;2284;2209;866;1343
"87";250060;"Alhandra (PB)";"Alhandra";225.4;70.6;36.439103;63.41;47.95;3.09;44.96;81.51;0.54;54.47;52.42;0.605;77.01;61.87;2.89;4920;6791;615;761;13394;15914;8943;6971
"88";260070;"Aliança (PE)";"Aliança";266.4;139.6;63.214256;59.69;85.29;3.13;45.98;74.77;0.54;50.6;53.27;0.578;72.09;63.43;3.05;14159;16311;1538;1962;37455;37189;17091;20098
"89";170035;"Aliança do Tocantins (TO)";"Aliança do Tocantins";1586;3.9;142.662591;67.87;34.09;2.37;22.97;138.04;0.57;34.55;41.96;0.717;89;81.47;4.22;2311;2867;222;358;5906;6177;5120;1057
"90";290090;"Almadina (BA)";"Almadina";247.8;31.4;227.782232;64.41;44.35;2.83;43.66;84.98;0.54;38.89;49.59;0.623;78.96;65.38;2.55;3696;3511;454;573;10004;7862;5416;2446
"91";170040;"Almas (TO)";"Almas";4106.4;2.1;201.370717;60.63;60.74;3.17;31.52;112.05;0.62;60.68;57.41;0.638;77.05;75.54;3.58;2869;3487;344;404;7985;8474;5577;2897
"92";150050;"Almeirim (PA)";"Almeirim";73287.8;0.5;453.05533;69;30.9;4.1;23.13;251.08;0.72;53.48;59.24;0.745;81.44;80.37;4.97;11656;12919;648;926;33442;33957;18916;15041
